Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,target
48,1,4,2,2,1,0,43,3,2,4,1538,0,1538,0.684,2275,43,0.483,0,1
49,0,1,2,2,0,0,36,3,4,3,8136,2517,5619,0.674,2179,40,0.429,0.309,1
56,0,2,3,2,1,0,40,2,6,4,2381,651,1730,0.5920000000000001,1920,46,0.586,0.273,1
36,1,2,3,1,1,0,36,4,3,2,1848,0,1848,0.906,2775,33,0.435,0,1
59,1,0,1,1,4,0,52,6,4,2,2302,0,2302,0.52,2256,40,0.667,0,1
42,1,2,5,2,4,0,23,4,2,3,1443,0,1443,0.529,2092,38,0.31,0,1
50,1,4,3,1,4,0,36,1,3,2,3546,0,3546,0.7909999999999999,2616,47,0.469,0,1
39,0,1,0,0,3,0,28,1,3,4,12464,0,12464,0.8640000000000001,1195,35,0.522,0,1
48,0,2,0,1,3,0,38,2,2,3,2111,0,2111,0.531,773,17,0.133,0,1
35,0,3,1,1,3,0,30,5,3,4,13590,1528,12062,0.728,2137,52,0.486,0.1119999999999999,1
43,1,5,2,1,4,3,33,6,3,2,14806,2517,12289,0.5579999999999999,4804,57,0.462,0.17,1
33,1,0,5,2,1,0,15,3,2,6,1438.3,0,1438.3,0.835,2527,49,0.69,0,1
38,1,3,2,1,4,0,36,3,2,3,2300,0,2300,0.703,2500,47,0.119,0,1
52,1,1,2,1,4,0,42,1,5,3,1471,0,1471,0.624,2253,48,0.455,0,1
46,0,2,3,2,1,0,36,5,2,2,6362,0,6362,0.596,1968,51,0.759,0,1
45,0,2,0,2,2,0,29,3,2,4,3841,0,3841,0.794,2832,48,0.846,0,1
59,1,0,2,1,4,0,36,2,3,2,1708,0,1708,0.4429999999999999,1992,38,0.357,0,1
50,1,0,2,1,4,0,38,2,3,1,4935,1574,3361,1.01,8527,84,0.5,0.319,1
49,0,3,3,2,1,0,36,1,3,4,4601,0,4601,0.962,9610,76,0.6890000000000001,0,1
40,1,1,3,2,4,0,36,4,3,2,1438.3,544,894.3,0.5429999999999999,2294,40,0.7390000000000001,0.3779999999999999,1
59,1,1,3,2,4,0,50,1,0,3,4085,0,4085,0.787,7597,71,0.69,0,1
36,1,3,5,2,4,0,22,3,3,1,2784,2378,406,0.525,2021,57,0.6759999999999999,0.8540000000000001,1
49,0,4,2,2,3,0,36,2,3,2,3999,0,3999,0.938,7567,76,0.652,0,1
43,0,3,0,1,3,0,25,3,3,3,2900,2517,383,0.7190000000000001,2180,31,0.409,0.868,1
56,0,3,5,1,3,0,46,1,3,3,23240,1534,21706,0.971,9441,82,0.907,0.066,1
46,0,3,1,1,0,0,38,3,2,2,8989,552,8437,0.6990000000000001,2309,49,0.633,0.061,1
39,0,2,5,2,2,0,36,5,3,3,13961,1299,12662,0.8420000000000001,783,20,0.667,0.093,1
48,1,3,2,2,4,0,43,3,3,4,1502,0,1502,0.529,2204,36,0.44,0,1
45,0,2,2,1,3,0,36,4,3,3,24844,1273,23571,0.4370000000000001,6549,75,0.974,0.051,1
42,1,3,2,1,4,0,36,2,3,3,5505,2517,2988,0.7290000000000001,2272,42,0.4479999999999999,0.457,1
